metric,sex,n_years,years_range,us_trend,us_p,us_sen_slope,us_slope_ci_lo,us_slope_ci_hi,it_trend,it_p,it_sen_slope,it_slope_ci_lo,it_slope_ci_hi,diff_trend,diff_p,wilcoxon_stat,wilcoxon_p,slopes_ci_overlap
top10_share,M,26,1999-2024,decreasing,1.5332846103888187e-11,-0.0020044,-0.002328633333333293,-0.0016697666666666128,decreasing,5.10907094408708e-10,-0.0023455000000000004,-0.0026970625000000137,-0.0019705833333333914,no trend,0.07784584959716478,0.0,2.9802322387695312e-08,True
top10_share,F,26,1999-2024,decreasing,2.902786899738885e-10,-0.0010550000000000004,-0.0011950769230769493,-0.0009192222222222364,decreasing,9.99561855508091e-09,-0.003298105263157896,-0.0037167602339181326,-0.0028360842105262184,increasing,1.559274542239919e-05,0.0,2.9802322387695312e-08,False
top50_share,M,26,1999-2024,decreasing,1.2714274078007293e-12,-0.006370500000000001,-0.00677681249999991,-0.005981869565217426,decreasing,1.2714274078007293e-12,-0.0054692857142857,-0.005771446428571442,-0.005170535714285718,decreasing,5.021917266478937e-07,0.0,2.9802322387695312e-08,False
top50_share,F,26,1999-2024,decreasing,3.2809310823722626e-12,-0.0028444285714285733,-0.0032838116883117147,-0.0023859999999999992,decreasing,6.114220241215662e-12,-0.0041143333333333405,-0.004301388888888871,-0.003916176470588225,increasing,0.004782669315397836,0.0,2.9802322387695312e-08,False
