name,sex,year,count,baseline,ratio,score
Vanessa,F,1951,176,70,2.51,442.5
Shirlene,F,1936,156,55,2.84,442.5
Daysha,F,1996,156,55,2.84,442.5
Darian,M,1969,157,56,2.8,440.2
Ruthann,F,1938,169,65,2.6,439.4
Shamar,M,1996,161,59,2.73,439.3
Benedict,M,2005,158,57,2.77,438.0
Patience,F,1990,170,66,2.58,437.9
Tavares,M,1975,162,60,2.7,437.4
Adrian,M,1913,155,55,2.82,436.8
Kisha,F,1969,152,53,2.87,435.9
Keion,M,1996,159,58,2.74,435.9
Devyn,F,1990,163,61,2.67,435.6
Citlali,F,2000,156,56,2.79,434.6
Kolsen,M,2024,156,56,2.79,434.6
Armani,F,1996,168,65,2.58,434.2
Penelope,F,1937,173,69,2.51,433.8
Kristen,F,1947,153,54,2.83,433.5
Ashante,F,2002,157,57,2.75,432.4
Esmeray,F,2025,157,57,2.75,432.4
Roseanna,F,1983,165,63,2.62,432.1
Macie,F,1991,161,60,2.68,432.0
Dynasty,F,2001,161,60,2.68,432.0
Debrah,F,1950,154,55,2.8,431.2
Savanah,F,1986,158,58,2.72,430.4
Cody,F,1978,158,58,2.72,430.4
Nashly,F,2024,151,53,2.85,430.2
Fernanda,F,1993,171,68,2.51,430.0
Zhuri,F,2019,163,62,2.63,428.5
Kevon,M,1991,156,57,2.74,426.9
Mikaylah,F,2005,156,57,2.74,426.9
Grant,M,1912,169,67,2.52,426.3
Myleigh,F,2008,153,55,2.78,425.6
Saundra,F,1936,170,68,2.5,425.0
Tenika,F,1982,157,58,2.71,425.0
Mckayla,F,1993,170,68,2.5,425.0
Raquan,M,1996,157,58,2.71,425.0
Naydelin,F,2003,157,58,2.71,425.0
Torrie,F,1977,154,56,2.75,423.5
Alan,M,1913,158,59,2.68,423.1
Neil,M,1912,151,54,2.8,422.2
Wrenly,F,2022,155,57,2.72,421.5
Londynn,F,2011,159,60,2.65,421.3
Kentrell,M,2019,164,64,2.56,420.2
Halo,F,2010,152,55,2.76,420.1
Eythan,M,2024,156,58,2.69,419.6
Ariel,F,1978,162,63,2.57,416.6
Sheryl,F,1938,154,57,2.7,416.1
Mirella,F,1997,163,64,2.55,415.1
Cassidy,M,1983,163,64,2.55,415.1
Deklan,M,2012,164,65,2.52,413.8
Uziel,M,2021,160,62,2.58,412.9
Bowie,M,2017,156,59,2.64,412.5
Jasleen,F,2008,165,66,2.5,412.5
Harlynn,F,2017,165,66,2.5,412.5
Jarrell,M,1985,157,60,2.62,410.8
Markita,F,1984,153,57,2.68,410.7
Lincoln,F,2015,158,61,2.59,409.2
Allegra,F,1988,154,58,2.66,408.9
Latara,F,1987,154,58,2.66,408.9
Cady,F,1991,154,58,2.66,408.9
Roseanna,F,1982,155,59,2.63,407.2
Fantasia,F,1992,151,56,2.7,407.2
Aliyana,F,2011,158,62,2.55,402.6
Eli,M,1912,159,63,2.52,401.3
Kolson,M,2019,159,63,2.52,401.3
Egypt,F,2005,156,61,2.56,399.0
Kavion,M,2009,154,60,2.57,395.3
Kahlani,F,2018,150,57,2.63,394.7
Cecily,F,1987,150,58,2.59,387.9
True,M,2019,151,60,2.52,380.0
Kayden,F,2002,150,60,2.5,375.0
