name,sex,year,count,baseline,ratio,score
Bette,F,1916,230,82,2.8,645.1
Naja,F,1998,150,35,4.29,642.9
Karyme,F,2003,251,98,2.56,642.9
Harlyn,F,2017,221,76,2.91,642.6
Syreeta,F,1975,181,51,3.55,642.4
Trista,F,1971,215,72,2.99,642.0
Aleia,F,2020,243,92,2.64,641.8
Kathie,F,1942,229,82,2.79,639.5
Deidra,F,1961,254,101,2.51,638.8
Brianna,F,1977,223,78,2.86,637.6
Farah,F,1976,173,47,3.68,636.8
Cayde,M,2018,171,46,3.72,635.7
Kamron,M,1999,252,100,2.52,635.0
Nicholaus,M,1979,167,44,3.8,633.8
Whittney,F,1986,151,36,4.19,633.4
Mirabel,F,2022,153,37,4.14,632.7
Demarion,M,2003,153,37,4.14,632.7
Suellen,F,1941,159,40,3.98,632.0
Malcolm,M,1912,233,86,2.71,631.3
Suzette,F,1996,188,56,3.36,631.1
Valorie,F,1950,213,72,2.96,630.1
Mitch,M,1957,207,68,3.04,630.1
Makayla,F,1989,207,68,3.04,630.1
Dwight,M,1912,186,55,3.38,629.0
Kaylee,F,1984,191,58,3.29,629.0
Wendell,M,1913,243,94,2.59,628.2
Chanda,F,1969,202,65,3.11,627.8
Rya,F,2022,168,45,3.73,627.2
Adamari,F,2002,168,45,3.73,627.2
Jairo,M,1985,211,71,2.97,627.1
Kaiser,M,2016,208,69,3.01,627.0
Annya,F,2025,208,69,3.01,627.0
Yuliana,F,2002,249,99,2.52,626.3
Marleigh,F,2008,249,99,2.52,626.3
Campbell,F,2002,197,62,3.18,626.0
Quinton,M,1919,152,37,4.11,624.4
Robb,M,1969,237,90,2.63,624.1
Hakeem,M,2016,237,90,2.63,624.1
Lacey,F,1976,242,94,2.57,623.0
Mariel,F,2024,242,94,2.57,623.0
King,M,2006,219,77,2.84,622.9
Kenya,F,1969,219,77,2.84,622.9
Wrenleigh,F,2023,247,98,2.52,622.5
Valley,F,2025,207,69,3.0,621.0
Zaiden,M,2008,231,86,2.69,620.5
Kaley,F,1985,183,54,3.39,620.2
Anayeli,F,2001,188,57,3.3,620.1
Briseyda,F,2005,167,45,3.71,619.8
Star,F,1997,221,79,2.8,618.2
Nakita,F,1987,221,79,2.8,618.2
Zabdiel,M,2022,205,68,3.01,618.0
Unknown,M,1948,163,43,3.79,617.9
Dejah,F,1995,159,41,3.88,616.6
Kiyan,M,2012,172,48,3.58,616.3
Wendy,F,1939,222,80,2.77,616.0
Tyrique,M,1998,212,73,2.9,615.7
Sevyn,F,2018,230,86,2.67,615.1
Shanique,F,1990,177,51,3.47,614.3
Paulette,F,1940,223,81,2.75,613.9
Mayte,F,2007,227,84,2.7,613.4
Draven,M,1995,182,54,3.37,613.4
Gianni,M,1997,240,94,2.55,612.8
Adley,F,2013,220,79,2.78,612.7
Shirl,F,1964,210,72,2.92,612.5
Jovan,M,1977,175,50,3.5,612.5
Loren,M,1912,201,66,3.05,612.1
Nya,F,1999,207,70,2.96,612.1
Fredrick,M,1913,241,95,2.54,611.4
Wells,M,2017,233,89,2.62,610.0
Ricki,F,1995,196,63,3.11,609.8
Mirha,F,2021,160,42,3.81,609.5
Katelynn,F,1986,188,58,3.24,609.4
Sol,M,1913,218,78,2.79,609.3
Demetri,M,1992,178,52,3.42,609.3
Madelyn,F,1986,197,64,3.08,606.4
Shameka,F,1976,231,88,2.62,606.4
Anton,M,1913,216,77,2.81,605.9
Lyndsey,F,1978,174,50,3.48,605.5
Krissy,F,1979,189,59,3.2,605.4
Abbie,F,1979,237,93,2.55,604.0
Demarion,M,2004,217,78,2.78,603.7
Nariah,F,2003,161,43,3.74,602.8
Major,M,2010,238,94,2.53,602.6
Eren,M,2022,238,94,2.53,602.6
Jomar,M,2005,153,39,3.92,600.2
Laurel,F,1923,202,68,2.97,600.1
Carson,F,1992,202,68,2.97,600.1
Bruno,M,1913,180,54,3.33,600.0
Maite,F,2006,151,38,3.97,600.0
Hazel,F,1884,209,73,2.86,598.4
Britany,F,1985,209,73,2.86,598.4
Maribel,F,1962,232,90,2.58,598.0
Anaia,F,2025,183,56,3.27,598.0
Dara,F,2018,206,71,2.9,597.7
Kesha,F,1971,228,87,2.62,597.5
Itzel,F,1993,224,84,2.67,597.3
Veda,F,1946,200,67,2.99,597.0
Lorne,M,1962,171,49,3.49,596.8
Jonah,M,1971,162,44,3.68,596.5
Tayshaun,M,2005,186,58,3.21,596.5
Allan,M,1912,221,82,2.7,595.6
Layne,M,1995,221,82,2.7,595.6
Kelsea,F,1989,221,82,2.7,595.6
Alison,F,1946,214,77,2.78,594.8
Lael,M,2025,156,41,3.8,593.6
Charleston,F,2016,156,41,3.8,593.6
Tayshaun,M,2004,174,51,3.41,593.6
Lizbet,F,2002,167,47,3.55,593.4
Finnick,M,2016,150,38,3.95,592.1
Deion,M,1992,190,61,3.11,591.8
Riverlynn,F,2022,190,61,3.11,591.8
Jream,M,2024,199,67,2.97,591.1
Jacquelyn,F,1923,233,92,2.53,590.1
Michelle,F,1942,233,92,2.53,590.1
Lindsay,F,1974,213,77,2.77,589.2
Crosby,M,2010,180,55,3.27,589.1
Tory,F,1977,180,55,3.27,589.1
Jaidyn,F,2001,217,80,2.71,588.6
Naiari,F,2024,197,66,2.98,588.0
Jeromy,M,1971,159,43,3.7,587.9
Meagan,F,1975,230,90,2.56,587.8
Isla,F,2007,178,54,3.3,586.7
Everleigh,F,2010,186,59,3.15,586.4
Kingsley,M,2010,201,69,2.91,585.5
Shaila,F,2007,201,69,2.91,585.5
Desirae,F,1978,181,56,3.23,585.0
Aubriella,F,2012,195,65,3.0,585.0
Natanael,M,2020,176,53,3.32,584.5
Bentley,F,2010,233,93,2.51,583.8
Neil,M,1913,184,58,3.17,583.7
Jurnee,F,2008,205,72,2.85,583.7
Imanol,M,2001,169,49,3.45,582.9
Marva,F,1935,187,60,3.12,582.8
Dino,M,1957,225,87,2.59,581.9
Isabella,F,1990,217,81,2.68,581.3
Blake,F,2009,230,91,2.53,581.3
Jamila,F,1974,182,57,3.19,581.1
Bellamy,M,2018,182,57,3.19,581.1
Erwin,M,1912,210,76,2.76,580.3
Jovana,F,2001,185,59,3.14,580.1
Janiya,F,2000,222,85,2.61,579.8
Beyonce,F,2000,197,67,2.94,579.2
Tera,F,1970,191,63,3.03,579.1
Byron,M,1912,227,89,2.55,579.0
Cienna,F,2006,194,65,2.98,579.0
Karyme,F,2000,152,40,3.8,577.6
Darrian,F,1994,150,39,3.85,576.9
Terri,F,1943,189,62,3.05,576.1
Nicolle,F,1969,161,45,3.58,576.0
Katelin,F,1985,168,49,3.43,576.0
Lucian,M,2005,217,82,2.65,574.3
Gizelle,F,2005,206,74,2.78,573.5
Female,F,1990,157,43,3.65,573.2
Tayler,F,1989,190,63,3.02,573.0
Alitzel,F,2024,210,77,2.73,572.7
Derrick,M,1951,218,83,2.63,572.6
Jaiden,F,1999,214,80,2.67,572.4
Drayden,M,2008,164,47,3.49,572.3
Emilie,F,1975,207,75,2.76,571.3
Debby,F,1948,207,75,2.76,571.3
Jodi,F,1953,219,84,2.61,571.0
Keshawn,M,1996,224,88,2.55,570.2
Kaelin,F,1995,160,45,3.56,568.9
Aadhya,F,2013,172,52,3.31,568.9
Carmelo,M,2004,186,61,3.05,567.1
Kisha,F,1970,222,87,2.55,566.5
Zion,F,2000,156,43,3.63,566.0
Landyn,M,2004,210,78,2.69,565.4
Geoffrey,M,1941,223,88,2.53,565.1
Caydence,F,2005,173,53,3.26,564.7
Judie,F,1939,211,79,2.67,563.6
Cael,M,2003,176,55,3.2,563.2
Aleta,F,1946,171,52,3.29,562.3
Gage,M,1989,171,52,3.29,562.3
Reese,F,1999,171,52,3.29,562.3
Khalani,F,2017,159,45,3.53,561.8
Katlyn,F,1986,201,72,2.79,561.1
Tristin,F,1996,157,44,3.57,560.2
Jeryl,F,1955,155,43,3.6,558.7
Lynn,M,1913,192,66,2.91,558.5
Briseida,F,2005,199,71,2.8,557.8
Eider,M,2023,153,42,3.64,557.4
Baylor,F,2015,215,83,2.59,556.9
Skyler,M,1981,175,55,3.18,556.8
Elara,F,2018,175,55,3.18,556.8
Jonas,M,1970,193,67,2.88,556.0
Isha,F,2001,193,67,2.88,556.0
Angelic,F,1992,165,49,3.37,555.6
Lluvia,F,2002,187,63,2.97,555.1
Kellie,F,1957,204,75,2.72,554.9
Flynn,M,2011,212,81,2.62,554.9
Emme,F,2008,212,81,2.62,554.9
Tarsha,F,1971,212,81,2.62,554.9
Austin,F,2002,201,73,2.75,553.4
Allyssa,F,1988,201,73,2.75,553.4
Britta,F,1986,191,66,2.89,552.7
Stevie,F,1983,179,58,3.09,552.4
Janine,F,1946,188,64,2.94,552.2
Laquan,M,1991,202,74,2.73,551.4
Tristan,F,1982,152,42,3.62,550.1
Everly,F,2010,159,46,3.46,549.6
Jayden,M,1994,159,46,3.46,549.6
Marc,M,1941,207,78,2.65,549.3
Russel,M,1913,196,70,2.8,548.8
Kamilah,F,1977,172,54,3.19,547.9
Jamya,F,2000,204,76,2.68,547.6
Debrah,F,1951,190,66,2.88,547.0
Goldie,F,1885,167,51,3.27,546.8
Caydence,F,2004,170,53,3.21,545.3
Echo,F,1984,182,61,2.98,543.0
Layla,F,1973,151,42,3.6,542.9
Dani,F,1957,168,52,3.23,542.8
Emmalynn,F,2010,216,86,2.51,542.5
Imani,F,1990,203,76,2.67,542.2
Havana,F,2018,171,54,3.17,541.5
Gia,F,1998,174,56,3.11,540.6
Channing,F,2010,204,77,2.65,540.5
Selene,F,1990,166,51,3.25,540.3
Claudette,F,1932,180,60,3.0,540.0
Arisbeth,F,2021,180,60,3.0,540.0
Wrenley,F,2019,193,69,2.8,539.8
Delano,M,1934,209,81,2.58,539.3
Echo,F,1983,181,61,2.97,537.1
Candy,F,1945,198,73,2.71,537.0
Caitlyn,F,1983,157,46,3.41,535.8
Coen,M,2005,157,46,3.41,535.8
Kerry,F,1944,150,42,3.57,535.7
Lynda,F,1936,203,77,2.64,535.2
Aniya,F,1998,185,64,2.89,534.8
April,F,1941,176,58,3.03,534.1
Abril,F,1999,213,85,2.51,533.8
Kiaan,M,2016,168,53,3.17,532.5
Fredrick,M,1912,193,70,2.76,532.1
Johnpaul,M,1979,174,57,3.05,531.2
Walker,F,2022,158,47,3.36,531.1
Reign,M,2016,158,47,3.36,531.1
Nikki,F,1943,190,68,2.79,530.9
Diandra,F,1988,191,69,2.77,528.7
Mychal,M,1988,203,78,2.6,528.3
Luana,F,1947,164,51,3.22,527.4
Lennox,F,2013,154,45,3.42,527.0
Daunte,M,2001,159,48,3.31,526.7
Coast,M,2024,185,65,2.85,526.5
Colby,M,1971,209,83,2.52,526.3
Robbin,F,1953,196,73,2.68,526.2
