category,year,country,title,character,sex,peak_year,peak_freq_per_100k,t5_year,t5_freq_per_100k,persistence_p5_pct,status,did_net_effect_pct
Cinema & TV,2021,US,Spider-Man: No Way Home,Peter,M,2023,102.3,2025,114.4,111.8,Adozione Strutturale (Persistente),4.72
Cinema & TV,2022,US,Top Gun: Maverick,Pete,M,2023,3.16,2025,3.4,107.6,Adozione Strutturale (Persistente),-5.18
Cinema & TV,2023,US,Barbie,Barbie,F,2024,3.15,2025,2.05,65.2,Decadimento Moderato,48.47
Cinema & TV,2023,US,Oppenheimer,Robert,M,2024,220.91,2025,220.83,100.0,Adozione Strutturale (Persistente),-3.56
Cinema & TV,2000,IT,Chiedimi se sono felice,Giacomo,M,2001,933.27,2006,781.58,83.7,Adozione Strutturale (Persistente),6.39
Cinema & TV,2002,IT,Natale sul Nilo,Christian,M,2003,819.13,2008,1280.79,156.4,Adozione Strutturale (Persistente),8.97
Cinema & TV,2003,IT,Il paradiso all'improvviso,Leonardo,M,2005,1353.5,2010,1835.88,135.6,Adozione Strutturale (Persistente),15.61
Cinema & TV,2004,IT,Shrek 2,Fiona,F,2006,12.69,2011,8.15,64.2,Decadimento Moderato,214.61
Cinema & TV,2005,IT,Manuale d'amore,Tommaso,M,2006,1652.54,2011,1386.66,83.9,Adozione Strutturale (Persistente),32.73
Cinema & TV,2006,IT,Il codice da Vinci,Robert,M,2008,36.21,2013,27.74,76.6,Adozione Strutturale (Persistente),93.61
Cinema & TV,2007,IT,Natale in crociera,Fabio,M,2008,488.88,2013,289.52,59.2,Decadimento Moderato,-16.15
Cinema & TV,2007,IT,Coco Chanel (Miniserie TV),Chanel,F,2009,58.85,2014,75.8,128.8,Adozione Strutturale (Persistente),1821.46
Cinema & TV,2008,IT,Madagascar 2,Alex,M,2009,346.77,2014,342.71,98.8,Adozione Strutturale (Persistente),1.84
Cinema & TV,2008,IT,Twilight,Isabella,F,2010,236.86,2015,289.92,122.4,Adozione Strutturale (Persistente),31.71
Cinema & TV,2009,IT,L'era glaciale 3,Diego,M,2010,1089.86,2015,1173.1,107.6,Adozione Strutturale (Persistente),51.83
Cinema & TV,2010,IT,Benvenuti al Sud,Mattia,M,2012,2472.55,2017,2448.93,99.0,Adozione Strutturale (Persistente),17.64
Cinema & TV,2010,IT,Alice in Wonderland,Alice,F,2011,1630.33,2016,1538.55,94.4,Adozione Strutturale (Persistente),0.81
Cinema & TV,2012,IT,Benvenuti al Nord,Alberto,M,2013,360.24,2018,324.14,90.0,Adozione Strutturale (Persistente),-25.64
Cinema & TV,2013,IT,Sole a catinelle,Sole,F,2015,39.03,2020,124.79,319.7,Adozione Strutturale (Persistente),407.93
Cinema & TV,2013,IT,Frozen - Il regno di ghiaccio,Elsa,F,2015,55.75,2020,39.38,70.6,Adozione Strutturale (Persistente),109.33
Cinema & TV,2013,IT,Frozen - Il regno di ghiaccio,Anna,F,2015,1424.72,2020,1263.23,88.7,Adozione Strutturale (Persistente),7.47
Musica & Pop,1999,US,Believe,Cher,F,2000,0.77,2024,0.37,48.0,Decadimento Moderato,96.96
Musica & Pop,1999,US,Baby One More Time,Britney,F,2000,132.38,2005,38.8,29.3,Moda Passeggera (Fad Temporaneo),215.7
Musica & Pop,1999,US,Genie in a Bottle,Christina,F,2000,238.54,2005,132.7,55.6,Decadimento Moderato,-6.46
Musica & Pop,2000,US,Breathe,Faith,F,2002,307.59,2007,224.02,72.8,Adozione Strutturale (Persistente),71.88
Musica & Pop,2001,US,Fallin',Alicia,F,2002,156.94,2007,101.42,64.6,Decadimento Moderato,-0.47
Musica & Pop,2001,US,Whenever Wherever,Shakira,F,2002,28.49,2007,12.69,44.5,Decadimento Moderato,68.26
Musica & Pop,2002,US,Foolish,Ashanti,F,2003,52.65,2008,15.44,29.3,Moda Passeggera (Fad Temporaneo),204.35
Musica & Pop,2002,US,Complicated,Avril,F,2003,7.06,2008,8.2,116.1,Adozione Strutturale (Persistente),1241.23
Musica & Pop,2003,US,Crazy in Love,Beyonce,F,2004,9.58,2009,4.3,44.9,Decadimento Moderato,-38.58
Musica & Pop,2004,US,Goodies,Ciara,F,2005,125.82,2010,39.44,31.3,Moda Passeggera (Fad Temporaneo),118.24
Musica & Pop,2005,US,We Belong Together,Mariah,F,2006,214.34,2011,170.26,79.4,Adozione Strutturale (Persistente),37.9
Musica & Pop,2006,US,Hannah Montana,Miley,F,2008,140.25,2013,45.76,32.6,Moda Passeggera (Fad Temporaneo),7722.21
Musica & Pop,2006,US,Taylor Swift,Taylor,F,2008,441.26,2013,236.22,53.5,Decadimento Moderato,5.02
Musica & Pop,2007,US,Irreplaceable,Beyonce,F,2008,5.55,2013,1.6,28.7,Moda Passeggera (Fad Temporaneo),-28.6
