name,gender,year,count,baseline,ratio,score
YARA,f,2012,104,39,2.67,277.3
CELINE,f,2022,108,44,2.45,265.1
ACHILLE,m,2005,96,35,2.74,263.3
MATTEO PIO,m,2002,93,33,2.82,262.1
KHADIJA,f,2007,121,56,2.16,261.4
ARIA,f,2020,97,36,2.69,261.4
AMAR,m,2024,115,52,2.21,254.3
OTTAVIA,f,2022,122,59,2.07,252.3
YARA,f,2011,99,39,2.54,251.3
CASSANDRA,f,2008,91,33,2.76,250.9
FUTURA,f,2023,91,33,2.76,250.9
MATHIAS,m,2003,117,55,2.13,248.9
LEON,m,2005,80,26,3.08,246.2
VENERE,f,2023,80,26,3.08,246.2
RYAN,m,2007,104,44,2.36,245.8
MIRAL,f,2023,104,48,2.17,225.3
ADELAIDE,f,2008,110,54,2.04,224.1
ALEANDRO,m,2011,97,42,2.31,224.0
AYA,f,2002,112,56,2.0,224.0
ISIDE,f,2022,99,44,2.25,222.8
SYRIA,f,2000,102,47,2.17,221.4
RAYANE,m,2009,108,53,2.04,220.1
GIANPAOLO,m,2005,98,44,2.23,218.3
GIOVANNI PIO,m,2002,102,49,2.08,212.3
CHANTAL,f,2003,103,50,2.06,212.2
INES,f,2000,104,51,2.04,212.1
HIBA,f,2004,81,31,2.61,211.6
ZAIRA,f,2004,99,48,2.06,204.2
ILARY,f,2005,82,33,2.48,203.8
CRISTEL,f,2015,85,36,2.36,200.7
SAAD,m,2008,98,48,2.04,200.1
LEONE,m,2008,87,38,2.29,199.2
SORAYA,f,2004,83,35,2.37,196.8
AMY,f,2012,91,43,2.12,192.6
MIREA,f,2023,87,40,2.17,189.2
ARON,m,2009,83,37,2.24,186.2
SAFAA,f,2009,84,38,2.21,185.7
ATHENA,f,2016,82,37,2.22,181.7
NATAN,m,2012,84,41,2.05,172.1
ALVIN,m,2016,81,39,2.08,168.2
