year,country,title,character,sex,pre_freq_per_100k,post_freq_per_100k,jump_ratio,delta_pct,control_delta_pct,did_net_effect_pct,notes
2007,IT,Coco Chanel (Miniserie TV),Chanel,F,3.04,57.9,19.06,1806.41,-15.05,1821.46,Auditel / Rai #1 Miniserie Pop Impact
2008,IT,Madagascar 2,Alex,M,329.67,338.95,1.03,2.81,0.97,1.84,Cinetel #1 Incasso Italia 2008 (€25.0M)
2008,IT,Twilight,Isabella,F,182.63,221.97,1.22,21.54,-10.17,31.71,Cinetel Top Teen Franchise 2008
2009,IT,L'era glaciale 3,Diego,M,751.41,1065.94,1.42,41.86,-9.97,51.83,Cinetel #2 Incasso Italia 2009 (€29.7M)
2010,IT,Benvenuti al Sud,Mattia,M,2186.51,2405.01,1.1,9.99,-7.65,17.64,Cinetel #1 Incasso Italiano 2010 (€29.8M)
2010,IT,Alice in Wonderland,Alice,F,1606.51,1572.42,0.98,-2.12,-2.93,0.81,Cinetel #2 Incasso Italia 2010 (€30.4M)
2012,IT,Benvenuti al Nord,Alberto,M,473.47,356.58,0.75,-24.69,0.95,-25.64,Cinetel #1 Incasso Italia 2012 (€27.1M)
2013,IT,Sole a catinelle,Sole,F,7.75,38.67,4.99,399.31,-8.62,407.93,Cinetel #1 Incasso Italia 2013 (€51.9M)
2013,IT,Frozen - Il regno di ghiaccio,Elsa,F,21.07,42.87,2.03,103.42,-5.91,109.33,Cinetel #1 Animazione Natalizia 2013
2013,IT,Frozen - Il regno di ghiaccio,Anna,F,1329.06,1392.69,1.05,4.79,-2.69,7.47,Cinetel #1 Animazione Natalizia 2013
2023,IT,C'è ancora domani,Delia,F,120.82,198.7,1.64,64.46,-6.93,71.39,Cinetel #1 Film per Presenze 2023 (€36.9M)
2023,IT,Oppenheimer,Robert,M,20.05,15.31,0.76,-23.6,-5.73,-17.87,Cinetel #3 Incasso Italia 2023 (€28.5M)
