sex,n_years,years_range,us_trend,us_p,us_sen_slope,us_slope_ci_lo,us_slope_ci_hi,it_trend,it_p,it_sen_slope,it_slope_ci_lo,it_slope_ci_hi,diff_trend,diff_p,wilcoxon_stat,wilcoxon_p,slopes_ci_overlap
M,26,1999-2024,decreasing,1.7472689961550714e-12,-0.004801,-0.005142749999999887,-0.00445775000000009,decreasing,1.7472689961550714e-12,-0.0051694285714285705,-0.005404714285714013,-0.004931360544217752,no trend,0.17175819814532312,0.0,2.9802322387695312e-08,True
F,26,1999-2024,decreasing,4.483080573436382e-12,-0.002636375,-0.0029765937500000825,-0.002306145833333171,decreasing,3.2809310823722626e-12,-0.0037802222222222217,-0.0039325204678362265,-0.0036204696969696967,increasing,3.415804884543405e-05,0.0,2.9802322387695312e-08,False
