Paese,Quota 1999 (%),Quota 2024 (%),Trend,Tau,p-value,Esito
Stati Uniti (USA),7.31%,8.81%,Crescente,0.526,1.7892e-04,Significativo
Italia (IT),0.06%,0.22%,Stabile,0.031,8.4239e-01,Non significativo
