year,name,gender,count,percent
1999,"AGOSTINO",m,154,0.058325379872442
1999,"GIANLUIGI",m,153,0.057946643639504
1999,"ETTORE",m,150,0.05681043494069
1999,"GIANNI",m,146,0.055295490008938
1999,"MOHAMED",m,146,0.055295490008938
1999,"NICO",m,143,0.054159281310124
1999,"DATO MANCANTE",m,142,0.053780545077186
1999,"PIERO",m,142,0.053780545077186
1999,"ANTHONY",m,141,0.053401808844249
1999,"GREGORIO",m,140,0.053023072611311
1999,"MANUELE",m,136,0.051508127679559
1999,"RENATO",m,136,0.051508127679559
1999,"CORRADO",m,134,0.050750655213683
1999,"NUNZIO",m,133,0.050371918980745
1999,"FRANCESCO PAOLO",m,128,0.048478237816055
1999,"IACOPO",m,128,0.048478237816055
1999,"MARTIN",m,126,0.04772076535018
1999,"EROS",m,123,0.046584556651366
1999,"CALOGERO",m,122,0.046205820418428
1999,"ERIC",m,122,0.046205820418428
1999,"RUBEN",m,122,0.046205820418428
1999,"BENEDETTO",m,120,0.045448347952552
1999,"DENNIS",m,118,0.044690875486676
1999,"GIANFRANCO",m,118,0.044690875486676
1999,"MARIANO",m,118,0.044690875486676
1999,"EMANUEL",m,117,0.044312139253738
1999,"ANTONELLO",m,116,0.0439334030208
1999,"GIAN MARCO",m,116,0.0439334030208
1999,"FRANCESCO MARIA",m,115,0.043554666787862
1999,"GIUSEPPE PIO",m,113,0.042797194321986
1999,"MAICOL",m,113,0.042797194321986
1999,"BRIAN",m,112,0.042418458089048
1999,"ERNESTO",m,108,0.040903513157297
1999,"PIERFRANCESCO",m,106,0.040146040691421
1999,"IGNAZIO",m,101,0.038252359526731
1999,"FRANCO",m,100,0.037873623293793
1999,"KRISTIAN",m,100,0.037873623293793
1999,"EMMANUELE",m,98,0.037116150827917
1999,"ALEXANDER",m,95,0.035979942129104
1999,"ANTONIO PIO",m,92,0.03484373343029
1999,"EDUARDO",m,92,0.03484373343029
1999,"GIOSUE",m,91,0.034464997197352
1999,"OSCAR",m,90,0.034086260964414
1999,"GASPARE",m,86,0.032571316032662
1999,"GRAZIANO",m,86,0.032571316032662
1999,"SIMON",m,85,0.032192579799724
1999,"SANDRO",m,84,0.031813843566786
1999,"SANTO",m,84,0.031813843566786
1999,"PATRIZIO",m,83,0.031435107333848
1999,"KARIM",m,82,0.03105637110091
1999,"ANTONY",m,81,0.030677634867973
1999,"CHRISTOPHER",m,81,0.030677634867973
1999,"AMIN",m,79,0.029920162402097
1999,"AYOUB",m,79,0.029920162402097
1999,"LUKAS",m,79,0.029920162402097
1999,"MORENO",m,78,0.029541426169159
1999,"LUCIO",m,77,0.029162689936221
1999,"GIOACCHINO",m,76,0.028783953703283
1999,"SEBASTIAN",m,76,0.028783953703283
1999,"DYLAN",m,75,0.028405217470345
1999,"TOMAS",m,75,0.028405217470345
1999,"AHMED",m,74,0.028026481237407
1999,"NATALE",m,74,0.028026481237407
1999,"ENZO",m,72,0.027269008771531
1999,"GIANMARIA",m,70,0.026511536305655
1999,"GIOVANNI MARIA",m,70,0.026511536305655
1999,"YOUSSEF",m,70,0.026511536305655
1999,"ARTURO",m,69,0.026132800072717
1999,"ELIAS",m,69,0.026132800072717
1999,"ORAZIO",m,69,0.026132800072717
1999,"TOBIAS",m,68,0.025754063839779
1999,"ZAKARIA",m,67,0.025375327606841
1999,"BRYAN",m,66,0.024996591373904
1999,"ENEA",m,66,0.024996591373904
1999,"UGO",m,66,0.024996591373904
1999,"ELIO",m,65,0.024617855140966
1999,"GIAMMARCO",m,65,0.024617855140966
1999,"GIANPAOLO",m,65,0.024617855140966
1999,"GIROLAMO",m,65,0.024617855140966
1999,"LAPO",m,65,0.024617855140966
1999,"TOBIA",m,65,0.024617855140966
1999,"FABIANO",m,64,0.024239118908028
1999,"EMMANUEL",m,63,0.02386038267509
1999,"BENITO",m,62,0.023481646442152
1999,"FABIAN",m,62,0.023481646442152
1999,"FRANCESCA",m,62,0.023481646442152
1999,"JOSEPH",m,62,0.023481646442152
1999,"ANDREAS",m,61,0.023102910209214
1999,"HAMZA",m,61,0.023102910209214
1999,"MATTHIAS",m,61,0.023102910209214
1999,"ALAN",m,60,0.022724173976276
1999,"DANNY",m,60,0.022724173976276
1999,"GIANVITO",m,60,0.022724173976276
1999,"MICHELE PIO",m,60,0.022724173976276
1999,"ALVISE",m,59,0.022345437743338
1999,"GIOVANNI BATTISTA",m,59,0.022345437743338
1999,"ATTILIO",m,58,0.0219667015104
1999,"FRANCESCO SAVERIO",m,58,0.0219667015104
1999,"ISMAELE",m,58,0.0219667015104
1999,"IVANO",m,58,0.0219667015104
1999,"JONAS",m,58,0.0219667015104
1999,"LEANDRO",m,57,0.021587965277462
1999,"SAVINO",m,57,0.021587965277462
1999,"RUGGIERO",m,56,0.021209229044524
1999,"STEFAN",m,56,0.021209229044524
1999,"STEVEN",m,55,0.020830492811586
1999,"AARON",m,54,0.020451756578648
